check_id,dimension_id,maker,model,generation,trim,drive,transmission,status,checked_values,differences,source,note
"183","4594","マツダ","CX-80","初代 (2024-)","XD S Package","2WD","8AT","照合項目一致","全長mm=4990 / 全幅mm=1890 / 全高mm=1705 / 車両重量kg=1990","","https://www.mazda.co.jp/globalassets/assets/cars/cx-80/common/pdf/cx-80_specification_202410.pdf","2025年3月仕様。S Package 1,705mmは正しい。L Packageはサンルーフなし、Premium Sportsはサンルーフ装着値。PHEVの重量・正確なグレード名は未確認。"
"184","4595","マツダ","CX-80","初代 (2024-)","XD L Package","4WD","8AT","照合項目一致","全長mm=4990 / 全幅mm=1890 / 全高mm=1710 / 車両重量kg=2040","","https://www.mazda.co.jp/globalassets/assets/cars/cx-80/common/pdf/cx-80_specification_202410.pdf","2025年3月仕様。S Package 1,705mmは正しい。L Packageはサンルーフなし、Premium Sportsはサンルーフ装着値。PHEVの重量・正確なグレード名は未確認。"
"185","4596","マツダ","CX-80","初代 (2024-)","XD-HYBRID Premium Sport","4WD","8AT","照合項目一致","全長mm=4990 / 全幅mm=1890 / 全高mm=1710 / 車両重量kg=2120","","https://www.mazda.co.jp/globalassets/assets/cars/cx-80/common/pdf/cx-80_specification_202410.pdf","2025年3月仕様。S Package 1,705mmは正しい。L Packageはサンルーフなし、Premium Sportsはサンルーフ装着値。PHEVの重量・正確なグレード名は未確認。"
"186","4597","マツダ","CX-80","初代 (2024-)","PHEV Premium","4WD","8AT","照合項目一致","全長mm=4990 / 全幅mm=1890 / 全高mm=1710","","https://www.mazda.co.jp/globalassets/assets/cars/cx-80/common/pdf/cx-80_specification_202410.pdf","2025年3月仕様。S Package 1,705mmは正しい。L Packageはサンルーフなし、Premium Sportsはサンルーフ装着値。PHEVの重量・正確なグレード名は未確認。"
"187","4466","マツダ","CX-60","初代 (2022-)","25S S Package","2WD","8AT","照合項目一致","全長mm=4740 / 全幅mm=1890 / 全高mm=1685","","https://www.mazda.co.jp/globalassets/assets/cars/cx-60/common/pdf/cx-60_catalog.pdf","2025年10月カタログ。寸法3項目のみ。重量は年式・装備条件が変わるため未確認。"
"188","4467","マツダ","CX-60","初代 (2022-)","25S L Package","2WD","8AT","照合項目一致","全長mm=4740 / 全幅mm=1890 / 全高mm=1685","","https://www.mazda.co.jp/globalassets/assets/cars/cx-60/common/pdf/cx-60_catalog.pdf","2025年10月カタログ。寸法3項目のみ。重量は年式・装備条件が変わるため未確認。"
"189","4468","マツダ","CX-60","初代 (2022-)","XD S Package","2WD","8AT","照合項目一致","全長mm=4740 / 全幅mm=1890 / 全高mm=1685","","https://www.mazda.co.jp/globalassets/assets/cars/cx-60/common/pdf/cx-60_catalog.pdf","2025年10月カタログ。寸法3項目のみ。重量は年式・装備条件が変わるため未確認。"
"190","4469","マツダ","CX-60","初代 (2022-)","XD L Package","4WD","8AT","照合項目一致","全長mm=4740 / 全幅mm=1890 / 全高mm=1685","","https://www.mazda.co.jp/globalassets/assets/cars/cx-60/common/pdf/cx-60_catalog.pdf","2025年10月カタログ。寸法3項目のみ。重量は年式・装備条件が変わるため未確認。"
"191","4470","マツダ","CX-60","初代 (2022-)","XD-HYBRID Premium Sports","4WD","8AT","照合項目一致","全長mm=4740 / 全幅mm=1890 / 全高mm=1685","","https://www.mazda.co.jp/globalassets/assets/cars/cx-60/common/pdf/cx-60_catalog.pdf","2025年10月カタログ。寸法3項目のみ。重量は年式・装備条件が変わるため未確認。"
"192","4471","マツダ","CX-60","初代 (2022-)","PHEV S Package","4WD","8AT","照合項目一致","全長mm=4740 / 全幅mm=1890 / 全高mm=1685","","https://www.mazda.co.jp/globalassets/assets/cars/cx-60/common/pdf/cx-60_catalog.pdf","2025年10月カタログ。寸法3項目のみ。重量は年式・装備条件が変わるため未確認。"
"193","4472","マツダ","CX-60","初代 (2022-)","PHEV Premium Sports","4WD","8AT","照合項目一致","全長mm=4740 / 全幅mm=1890 / 全高mm=1685","","https://www.mazda.co.jp/globalassets/assets/cars/cx-60/common/pdf/cx-60_catalog.pdf","2025年10月カタログ。寸法3項目のみ。重量は年式・装備条件が変わるため未確認。"
"194","4535","トヨタ","ノア","90系 (2022-)","S-Z 2.0L","2WD","CVT","照合項目一致","全長mm=4695 / 全幅mm=1730 / 全高mm=1895 / 車両重量kg=1640","","https://toyota.jp/pages/contents/carlineup/archive/noah/2022-01/pdf/noah_main_s_202201_202504.pdf","2022年1月～2025年4月仕様。S-Z HV 2WDの重量は装備条件が未特定のため未照合。"
"195","4536","トヨタ","ノア","90系 (2022-)","X 2.0L","2WD","CVT","照合項目一致","全長mm=4695 / 全幅mm=1730 / 全高mm=1895 / 車両重量kg=1600","","https://toyota.jp/pages/contents/carlineup/archive/noah/2022-01/pdf/noah_main_s_202201_202504.pdf","2022年1月～2025年4月仕様。S-Z HV 2WDの重量は装備条件が未特定のため未照合。"
"196","4537","トヨタ","ノア","90系 (2022-)","S-Z 2.0L","4WD","CVT","照合項目一致","全長mm=4695 / 全幅mm=1730 / 全高mm=1925 / 車両重量kg=1700","","https://toyota.jp/pages/contents/carlineup/archive/noah/2022-01/pdf/noah_main_s_202201_202504.pdf","2022年1月～2025年4月仕様。S-Z HV 2WDの重量は装備条件が未特定のため未照合。"
"197","4538","トヨタ","ノア","90系 (2022-)","S-Z HV","2WD","CVT","照合項目一致","全長mm=4695 / 全幅mm=1730 / 全高mm=1895","","https://toyota.jp/pages/contents/carlineup/archive/noah/2022-01/pdf/noah_main_s_202201_202504.pdf","2022年1月～2025年4月仕様。S-Z HV 2WDの重量は装備条件が未特定のため未照合。"
"198","4539","トヨタ","ノア","90系 (2022-)","S-Z HV","4WD","CVT","照合項目一致","全長mm=4695 / 全幅mm=1730 / 全高mm=1925 / 車両重量kg=1710","","https://toyota.jp/pages/contents/carlineup/archive/noah/2022-01/pdf/noah_main_s_202201_202504.pdf","2022年1月～2025年4月仕様。S-Z HV 2WDの重量は装備条件が未特定のため未照合。"
"199","4540","トヨタ","シエンタ","3代目 (2022-)","X 1.5L","2WD","CVT","照合項目一致","全長mm=4260 / 全幅mm=1695 / 全高mm=1695","","https://toyota.jp/pages/contents/sienta/003_p_001/pdf/sienta_spec_202608.pdf","寸法3項目のみ。年式・5/7人乗り条件未特定のため重量は未照合。"
"200","4541","トヨタ","シエンタ","3代目 (2022-)","Z 1.5L","2WD","CVT","照合項目一致","全長mm=4260 / 全幅mm=1695 / 全高mm=1695","","https://toyota.jp/pages/contents/sienta/003_p_001/pdf/sienta_spec_202608.pdf","寸法3項目のみ。年式・5/7人乗り条件未特定のため重量は未照合。"
"201","4542","トヨタ","シエンタ","3代目 (2022-)","Z HV","2WD","CVT","照合項目一致","全長mm=4260 / 全幅mm=1695 / 全高mm=1695","","https://toyota.jp/pages/contents/sienta/003_p_001/pdf/sienta_spec_202608.pdf","寸法3項目のみ。年式・5/7人乗り条件未特定のため重量は未照合。"
"202","4543","トヨタ","シエンタ","3代目 (2022-)","G HV","4WD","CVT","照合項目一致","全長mm=4260 / 全幅mm=1695 / 全高mm=1715","","https://toyota.jp/pages/contents/sienta/003_p_001/pdf/sienta_spec_202608.pdf","寸法3項目のみ。年式・5/7人乗り条件未特定のため重量は未照合。"
"203","4681","フェラーリ","488","GTB/Spider (2015-2019)","488 Pista","RWD","7DCT","照合項目一致","全長mm=4605 / 全幅mm=1975 / 全高mm=1206","","https://www.ferrari.com/content/dam/ferrari-fcom/old/pdf/cs_ferrari_488_pista_geneva_gbr.pdf","世界向け公表値との比較。日本仕様の登録値は別途確認が必要。"
"204","4681","フェラーリ","488","GTB/Spider (2015-2019)","488 Pista","RWD","7DCT","重量種別不適切","","","https://www.ferrari.com/content/dam/ferrari-fcom/old/pdf/cs_ferrari_488_pista_geneva_gbr.pdf","DB1,280kgは公式の乾燥重量（軽量オプション装着時）。同資料のkerb weightは1,385kgで105kg重い。日本の車両重量にそのまま代入せず、重量定義と日本仕様を特定する。"
"205","4616","スバル","クロストレック","初代 GU系 (2022-)","Touring","AWD","CVT","照合項目一致","全長mm=4480 / 全幅mm=1800 / 全高mm=1575 / 車両重量kg=1600","","https://scdam.subaru.jp/20241108/20241108171116crosstrek_specifications.pdf","2024年12月詳細諸元表。シャークフィンアンテナを含み、ルーフレールなしの全高。"
"206","4616","スバル","クロストレック","初代 GU系 (2022-)","Touring","AWD","CVT","条件注記不足","","","https://scdam.subaru.jp/20241108/20241108171116crosstrek_specifications.pdf","1,575mmは正しい。ルーフレール装着で+5mm、当時のTouringオーディオレスはアンテナを倒して-25mm。年式・装備条件を明記する。"
"207","4617","スバル","クロストレック","初代 GU系 (2022-)","Limited","AWD","CVT","照合項目一致","全長mm=4480 / 全幅mm=1800 / 全高mm=1575 / 車両重量kg=1610","","https://scdam.subaru.jp/20241108/20241108171116crosstrek_specifications.pdf","2024年12月詳細諸元表。シャークフィンアンテナを含み、ルーフレールなしの全高。"
"208","4617","スバル","クロストレック","初代 GU系 (2022-)","Limited","AWD","CVT","条件注記不足","","","https://scdam.subaru.jp/20241108/20241108171116crosstrek_specifications.pdf","1,575mmは正しい。ルーフレール装着で+5mm、当時のTouringオーディオレスはアンテナを倒して-25mm。年式・装備条件を明記する。"
"209","4843","ホンダ","シビック","11代目 FL系 (2021-)","EX ガソリン","2WD","CVT","照合項目一致","全長mm=4550 / 全幅mm=1800 / 全高mm=1415 / 車両重量kg=1370","","https://www.honda.co.jp/factbook/auto/CIVIC/202108/202108_CIVIC.pdf","2021年8月EX CVT。PDF39ページを画像で確認。"
"210","4844","ホンダ","シビック","11代目 FL系 (2021-)","e:HEV","2WD","e:HEV","誤り確認","全幅mm=1800 / 全高mm=1415 / 車両重量kg=1460","全高mm: 1410 -> 1415","https://www.honda.co.jp/factbook/auto/CIVIC_eHEV/202206/4220630-civic.pdf","2022年e:HEVも2026年e:HEV LXも全高1,415mm。登録1,410mmはRSと混同の可能性。全長は改良前4,550mm／後4,560mmのため、この行では未判定。"
"211","4844","ホンダ","シビック","11代目 FL系 (2021-)","e:HEV","2WD","e:HEV","照合項目一致","全長mm=4560","","https://www.honda.co.jp/CIVIC/common/pdf/civic_spec_list.pdf","改良後e:HEV LXとして全長は一致。DBの年式・グレード名を具体化する必要あり。"
"212","4839","ホンダ","フィット","4代目 GR系 (2020-)","ベーシック e:HEV","2WD","e:HEV","照合項目一致","全長mm=3995 / 全幅mm=1695 / 全高mm=1515","","https://www.honda.co.jp/auto-archive/fit/2022/common/pdf/fit_spec_list.pdf","BASIC/HOMEの2022年までの寸法。重量は未照合。BASICはアンテナ・ナビ条件に注意。"
"213","4840","ホンダ","フィット","4代目 GR系 (2020-)","ホーム e:HEV","2WD","e:HEV","照合項目一致","全長mm=3995 / 全幅mm=1695 / 全高mm=1540","","https://www.honda.co.jp/auto-archive/fit/2022/common/pdf/fit_spec_list.pdf","BASIC/HOMEの2022年までの寸法。重量は未照合。BASICはアンテナ・ナビ条件に注意。"
"214","4841","ホンダ","フィット","4代目 GR系 (2020-)","CROSSTAR e:HEV","2WD","e:HEV","誤り確認","全長mm=4095 / 全幅mm=1725 / 全高mm=1570 / 車両重量kg=1210","全高mm: 1565 -> 1570","https://www.honda.co.jp/Fit/common/pdf/fit_spec_list.pdf","現行CROSSTAR。4WD重量は1,280kg、FFは1,210kg。PDF表を画像確認。"
"215","4842","ホンダ","フィット","4代目 GR系 (2020-)","CROSSTAR e:HEV","4WD","e:HEV","照合項目一致","全長mm=4095 / 全幅mm=1725 / 全高mm=1570 / 車両重量kg=1280","","https://www.honda.co.jp/Fit/common/pdf/fit_spec_list.pdf","現行CROSSTAR。4WD重量は1,280kg、FFは1,210kg。PDF表を画像確認。"
"216","4503","BMW","X3","G45 (2024-)","xDrive30e PHEV","AWD","8AT","仕様特定必要","","","https://www.bmw.co.jp/content/dam/bmw/marketJP/bmw_co_jp/pdf/all-models/X/X3/X3_EPL_202504V1.pdf","登録G45 xDrive30e PHEVは参照した日本向け価格・諸元表に掲載なし。世界向けグレードと日本仕様の区別を確認。不存在と断定せず、日本での対象仕様特定待ち。"
